Timestamp,Class,Entry,Exit,Distance_m,Speed_kmh
03-10-2017 04:43,car,EAST,WEST,21.5,85.1
03-10-2017 04:08,car,SOUTH,EAST,21.5,86.2
03-10-2017 01:47,truck,NORTH,EAST,21.5,37.2
03-10-2017 21:05,car,WEST,NORTH,21.5,70.9
03-10-2017 01:37,car,WEST,SOUTH,21.5,50.7
03-10-2017 06:26,car,SOUTH,EAST,21.5,91.2
03-10-2017 07:31,car,WEST,SOUTH,21.5,84.6
03-10-2017 08:03,car,EAST,NORTH,21.5,59.0
03-10-2017 15:35,car,NORTH,EAST,21.5,93.2
03-10-2017 20:14,car,WEST,EAST,21.5,53.9
03-10-2017 05:02,car,EAST,SOUTH,21.5,67.7
03-10-2017 04:00,car,EAST,NORTH,21.5,46.9
03-10-2017 23:46,car,EAST,SOUTH,21.5,91.1
03-10-2017 11:11,car,WEST,NORTH,21.5,92.9
03-10-2017 01:45,car,NORTH,SOUTH,21.5,70.1
03-10-2017 01:17,truck,SOUTH,WEST,21.5,55.7
03-10-2017 00:03,car,SOUTH,EAST,21.5,55.5
03-10-2017 18:28,car,EAST,NORTH,21.5,68.1
03-10-2017 21:22,car,WEST,EAST,21.5,89.9
03-10-2017 12:16,car,NORTH,EAST,21.5,51.2
03-10-2017 12:45,car,NORTH,SOUTH,21.5,63.4
03-10-2017 05:12,car,NORTH,SOUTH,21.5,81.4
03-10-2017 01:26,car,SOUTH,WEST,21.5,54.2
03-10-2017 11:53,car,WEST,EAST,21.5,52.2
03-10-2017 04:51,truck,WEST,EAST,21.5,52.4
03-10-2017 17:51,car,EAST,SOUTH,21.5,46.1
03-10-2017 05:01,car,EAST,NORTH,21.5,91.9
03-10-2017 21:48,car,EAST,NORTH,21.5,78.6
03-10-2017 14:19,car,WEST,EAST,21.5,45.3
03-10-2017 13:41,car,NORTH,WEST,21.5,77.4
03-10-2017 03:27,car,WEST,EAST,21.5,71.2
03-10-2017 04:57,car,EAST,NORTH,21.5,53.6
03-10-2017 10:13,car,NORTH,EAST,21.5,46.1
03-10-2017 22:49,truck,SOUTH,NORTH,21.5,37.8
03-10-2017 23:42,truck,SOUTH,WEST,21.5,33.5
03-10-2017 04:26,truck,EAST,WEST,21.5,53.1
03-10-2017 04:22,car,NORTH,WEST,21.5,70.3
03-10-2017 17:49,car,SOUTH,NORTH,21.5,66.9
03-10-2017 19:34,car,SOUTH,EAST,21.5,67.5
03-10-2017 07:22,bus,WEST,EAST,21.5,34.7
03-10-2017 02:10,car,EAST,SOUTH,21.5,93.0
03-10-2017 08:20,car,EAST,SOUTH,21.5,70.7
03-10-2017 21:45,car,SOUTH,WEST,21.5,50.9
03-10-2017 08:48,car,EAST,NORTH,21.5,81.1
03-10-2017 01:11,truck,SOUTH,NORTH,21.5,50.0
03-10-2017 18:26,car,WEST,EAST,21.5,56.2
03-10-2017 21:39,car,WEST,NORTH,21.5,62.6
03-10-2017 16:58,car,SOUTH,WEST,21.5,54.8
03-10-2017 09:00,car,WEST,NORTH,21.5,75.1
03-10-2017 23:03,car,WEST,EAST,21.5,68.8
03-10-2017 12:33,truck,WEST,SOUTH,21.5,45.9
03-10-2017 17:38,car,EAST,WEST,21.5,93.3
03-10-2017 21:41,bus,EAST,WEST,21.5,27.6
03-10-2017 22:00,car,EAST,WEST,21.5,61.2
03-10-2017 01:58,car,WEST,EAST,21.5,92.0
03-10-2017 05:07,car,EAST,NORTH,21.5,81.6
03-10-2017 01:54,car,EAST,NORTH,21.5,83.0
03-10-2017 13:09,car,SOUTH,NORTH,21.5,45.6
03-10-2017 12:11,car,NORTH,SOUTH,21.5,62.5
