Timestamp,Class,Entry,Exit,Distance_m,Speed_kmh
03-09-2017 20:20,car,EAST,NORTH,21.5,62.6
03-09-2017 17:50,car,WEST,NORTH,21.5,68.1
03-09-2017 05:04,bus,EAST,WEST,21.5,40.2
03-09-2017 19:47,car,WEST,SOUTH,21.5,70.3
03-09-2017 18:02,car,NORTH,EAST,21.5,76.6
03-09-2017 11:37,truck,SOUTH,WEST,21.5,40.5
03-09-2017 10:38,car,NORTH,EAST,21.5,53.7
03-09-2017 07:12,car,WEST,NORTH,21.5,92.4
03-09-2017 03:15,car,SOUTH,WEST,21.5,67.3
03-09-2017 15:43,car,WEST,SOUTH,21.5,80.3
03-09-2017 00:59,car,EAST,NORTH,21.5,54.2
03-09-2017 21:10,car,NORTH,EAST,21.5,73.5
03-09-2017 07:44,car,WEST,SOUTH,21.5,81.7
03-09-2017 17:29,car,NORTH,EAST,21.5,70.4
03-09-2017 19:59,car,EAST,WEST,21.5,46.2
03-09-2017 12:14,truck,SOUTH,EAST,21.5,50.0
03-09-2017 15:15,car,NORTH,EAST,21.5,50.2
03-09-2017 10:29,car,NORTH,EAST,21.5,45.3
03-09-2017 17:29,truck,WEST,SOUTH,21.5,61.7
03-09-2017 11:55,car,NORTH,EAST,21.5,79.9
03-09-2017 13:40,car,SOUTH,NORTH,21.5,74.6
03-09-2017 22:02,car,NORTH,WEST,21.5,48.2
03-09-2017 18:55,car,NORTH,EAST,21.5,79.9
03-09-2017 13:46,car,SOUTH,NORTH,21.5,84.0
03-09-2017 23:36,bus,EAST,SOUTH,21.5,47.1
03-09-2017 20:21,car,NORTH,EAST,21.5,77.7
03-09-2017 19:40,car,EAST,NORTH,21.5,68.4
03-09-2017 12:58,car,WEST,SOUTH,21.5,50.1
03-09-2017 11:28,car,WEST,SOUTH,21.5,90.9
03-09-2017 12:48,car,WEST,EAST,21.5,62.2
03-09-2017 14:18,car,WEST,NORTH,21.5,63.9
03-09-2017 08:04,car,NORTH,SOUTH,21.5,92.9
03-09-2017 17:40,car,EAST,NORTH,21.5,60.5
03-09-2017 16:52,car,WEST,SOUTH,21.5,69.5
03-09-2017 05:35,car,SOUTH,EAST,21.5,81.6
03-09-2017 06:57,car,NORTH,SOUTH,21.5,51.1
03-09-2017 02:47,car,SOUTH,WEST,21.5,50.9
03-09-2017 09:08,car,NORTH,EAST,21.5,48.8
03-09-2017 02:53,car,SOUTH,NORTH,21.5,85.3
03-09-2017 22:04,car,EAST,SOUTH,21.5,57.9
03-09-2017 19:07,car,EAST,WEST,21.5,68.8
03-09-2017 14:53,car,EAST,NORTH,21.5,54.4
03-09-2017 17:05,car,NORTH,SOUTH,21.5,57.9
03-09-2017 23:40,car,EAST,SOUTH,21.5,82.5
03-09-2017 17:22,bus,WEST,NORTH,21.5,40.5
03-09-2017 15:44,car,EAST,SOUTH,21.5,58.5
03-09-2017 06:35,car,EAST,NORTH,21.5,61.5
03-09-2017 06:05,car,WEST,NORTH,21.5,92.4
03-09-2017 13:10,car,NORTH,WEST,21.5,60.9
03-09-2017 22:34,car,WEST,SOUTH,21.5,75.3
03-09-2017 04:29,truck,NORTH,EAST,21.5,59.9
03-09-2017 05:56,car,SOUTH,NORTH,21.5,84.2
